 name,partyid
AT_FPO,1202
AT_OVP,1201
AT_SPO,1203
BU_ATAKA,1001
BU_BBB,1002
BU_BNS,1003
BU_BSP,1004
BU_DPS,1006
BU_DSB,1007
BU_EL,1008
BU_GERB,1014
BU_NDSV,1009
BU_ODS,1010
BU_ONS,1011
BU_PU/NS,1012
BU_SK,1015
BU_UDF/SDS,1013
CA_BQ,1102
CA_CA,1101
CA_Con,1103
CA_Lib,1104
CA_NDP,1105
CA_PCP,1106
CA_RPC,1107
DE_CDU,702
DE_FDP,703
DE_Grn,704
DE_LINKE,705
DE_SPD,701
ES_CiU,603
ES_PP,601
ES_PSOE,602
IE_DL,406
IE_FF,401
IE_FG,402
IE_GP,408
IE_Lab,403
IE_NC,407
IE_PD,404
IE_SF,409
IE_WP,405
IT_Left,801
IT_Right,802
NL_CDA,303
NL_D66,302
NL_PvdA,301
NL_VVD,304
PT_BE,905
PT_CDS,903
PT_CDU,904
PT_PS,901
PT_PSD,902
SE_All,510
SE_CP,503
SE_Grn,507
SE_Mod,505
SE_SAP,502
UK_Con,201
UK_Lab,202
US_D,102
US_R,101
